# E (cm^-1)           g  stage  level
      0.000        2.00   0.00      0
  82256.451        8.00   0.00      1
  97489.127       18.00   0.00      2
 102820.563       32.00   0.00      3
 105288.257       50.00   0.00      4
 106628.732       72.00   0.00      5
 107436.997       98.00   0.00      6
 107961.591      128.00   0.00      7
 108321.252      162.00   0.00      8
 108578.515      200.00   0.00      9
 108768.860      242.00   0.00     10
 108913.634      288.00   0.00     11
 109026.301      338.00   0.00     12
 109115.700      392.00   0.00     13
 109187.822      450.00   0.00     14
 109246.848      512.00   0.00     15
 109295.768      578.00   0.00     16
 109336.763      648.00   0.00     17
 109371.458      722.00   0.00     18
 109401.079      800.00   0.00     19
 109426.571      882.00   0.00     20
 109448.666      968.00   0.00     21
 109467.942     1058.00   0.00     22
 109484.859     1152.00   0.00     23
 109499.787     1250.00   0.00     24
 109513.026     1352.00   0.00     25
 109524.821     1458.00   0.00     26
 109535.375     1568.00   0.00     27
 109544.857     1682.00   0.00     28
 109553.406     1800.00   0.00     29
 109561.141     1922.00   0.00     30
 109568.163     2048.00   0.00     31
 109574.555     2178.00   0.00     32
 109580.393     2312.00   0.00     33
 109585.737     2450.00   0.00     34
 109590.641     2592.00   0.00     35
 109595.154     2738.00   0.00     36
 109599.315     2888.00   0.00     37
 109603.160     3042.00   0.00     38
 109606.720     3200.00   0.00     39
 109610.023     3362.00   0.00     40
 109613.093     3528.00   0.00     41
 109615.951     3698.00   0.00     42
 109618.617     3872.00   0.00     43
 109621.107     4050.00   0.00     44
 109623.436     4232.00   0.00     45
 109625.618     4418.00   0.00     46
 109627.665     4608.00   0.00     47
 109629.588     4802.00   0.00     48
 109631.397     5000.00   0.00     49
 109633.101     5202.00   0.00     50
 109634.707     5408.00   0.00     51
 109636.223     5618.00   0.00     52
 109637.656     5832.00   0.00     53
 109639.011     6050.00   0.00     54
 109640.294     6272.00   0.00     55
 109641.511     6498.00   0.00     56
 109642.665     6728.00   0.00     57
 109643.761     6962.00   0.00     58
 109644.802     7200.00   0.00     59
 109645.793     7442.00   0.00     60
 109646.736     7688.00   0.00     61
 109647.634     7938.00   0.00     62
 109648.491     8192.00   0.00     63
 109649.309     8450.00   0.00     64
 109650.089     8712.00   0.00     65
 109650.835     8978.00   0.00     66
 109651.549     9248.00   0.00     67
 109652.231     9522.00   0.00     68
 109652.885     9800.00   0.00     69
 109653.511    10082.00   0.00     70
 109654.111    10368.00   0.00     71
 109654.687    10658.00   0.00     72
 109655.239    10952.00   0.00     73
 109655.770    11250.00   0.00     74
 109656.279    11552.00   0.00     75
 109656.769    11858.00   0.00     76
 109657.241    12168.00   0.00     77
 109657.694    12482.00   0.00     78
 109658.131    12800.00   0.00     79
 109658.551    13122.00   0.00     80
 109658.956    13448.00   0.00     81
 109659.347    13778.00   0.00     82
 109659.724    14112.00   0.00     83
 109660.087    14450.00   0.00     84
 109660.438    14792.00   0.00     85
 109660.777    15138.00   0.00     86
 109661.105    15488.00   0.00     87
 109661.421    15842.00   0.00     88
 109661.727    16200.00   0.00     89
 109662.023    16562.00   0.00     90
 109662.310    16928.00   0.00     91
 109662.587    17298.00   0.00     92
 109662.855    17672.00   0.00     93
 109663.115    18050.00   0.00     94
 109663.367    18432.00   0.00     95
 109663.611    18818.00   0.00     96
 109663.848    19208.00   0.00     97
 109664.077    19602.00   0.00     98
 109664.300        1.00   1.00     99
